Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
RQ50UG,2024-02-18 21:41:44,Empreendedor,JavaScript; R; SQL,Mentoria; Pós-graduação; Blogs/Artigos,Clima flexível; Presencial; Times grandes; Governo,Vim/Neovim; Bitbucket,Uso semanalmente,Reconhecimento; Carreira; Inovação,Complexidade do código; Deploy; Gerenciar tempo,IA/ML; DevOps; React,Trabalho remoto; Crescimento pessoal; Paixão
UG63CI,2024-09-18 21:28:02,Professor,PHP; Swift; Ruby; Go; Rust,Mentoria; Cursos presenciais,Consultoria; Times grandes; Empresa grande,GitHub; PyCharm; Docker,Uso raramente,Pesquisa; Impacto,Dados ruins; Gerenciar tempo; Segurança; Bugs difíceis,Cloud GCP; DevOps,Impacto social; Mercado aquecido; Boas oportunidades; Remuneração
ER27IL,2024-08-17 08:45:13,Estagiário,TypeScript; Dart; Java,Cursos online; Pós-graduação,Times pequenos; Presencial; Governo; Híbrido; Times grandes,Figma; Azure; Bitbucket; VS Code; AWS,Uso para testes,Resolver problemas; Pesquisa,Dados ruins; Teste/QA; Mudanças constantes,Blockchain; React,Remuneração; Impacto social; Crescimento pessoal; Paixão; Reconhecimento
LK49IE,2024-09-25 18:32:45,DevOps/Infra,Dart; SQL; Rust; C++,Projetos pessoais; Tutoriais YouTube,Laboratório; Governo,AWS; Vim/Neovim; Jupyter,Uso raramente,Criatividade; Estabilidade,Falta de requisitos; Ferramentas novas; Teste/QA; Escalabilidade,Cloud AWS; Flutter; Rust; DevOps; React,Pesquisa; Empreender
UB22QZ,2024-05-12 14:50:55,Desenvolvedor Sênior,Dart; C++; Go; Rust,Tutoriais YouTube; Hackathons; Projetos pessoais; Mentoria; Comunidades/Fóruns,Open source; Freelancer; Híbrido,Jupyter; AWS; Bitbucket; Azure; GCP,Uso raramente,Estabilidade; Carreira; Propósito; Inovação,Bugs difíceis; Dados ruins; Comunicação,DevOps; Cloud GCP; Cloud Azure,Remuneração; Comunidade; Impacto social; Desafios
IJ77OC,2024-01-21 10:20:59,Desenvolvedor Júnior,SQL; Kotlin; Python,Bootcamp; Livros,Open source; Governo; Times grandes; Laboratório; Empresa grande,GitLab; AWS; PyCharm,Uso para revisar código,Resolver problemas; Carreira; Estabilidade; Inovação; Autonomia,Mudanças constantes; Deploy; Falta de requisitos; Gerenciar tempo; Comunicação,Swift; IA/ML; Node.js; Cloud Azure; Cloud GCP,Ensinar; Mercado aquecido; Reconhecimento
PG55PZ,2024-06-03 08:32:28,Empreendedor,TypeScript; Rust; SQL,Graduação; Documentação oficial; Comunidades/Fóruns; Hackathons; Livros,Empresa grande; Governo; Freelancer; Multinacional,GitHub; IntelliJ; GCP; PyCharm; Eclipse,Uso para depurar,Resolver problemas; Dinheiro; Reconhecimento,Documentação; Bugs difíceis; Dados ruins; Mudanças constantes; Teste/QA,Cloud AWS; Kubernetes,Ensinar; Curiosidade
DR74MR,2024-01-21 18:41:18,Estagiário,JavaScript; Dart,Tutoriais YouTube; Cursos presenciais; Graduação; Hackathons; Cursos online,Governo; Multinacional,Kubernetes; IntelliJ,Uso em produção,Estabilidade; Desafio; Reconhecimento; Pesquisa,Comunicação; Teste/QA; Escalabilidade,IA/ML; Cloud GCP; Swift,Impacto social; Reconhecimento; Crescimento pessoal
EI00AU,2024-02-29 10:30:59,Estudante,Kotlin; TypeScript,Projetos pessoais; Outros,Open source; Consultoria; Times pequenos,IntelliJ; Eclipse; GCP; Bitbucket,Uso para gerar código,Reconhecimento; Propósito; Dinheiro,Documentação; Falta de requisitos; Deploy; Gerenciar tempo; Segurança,Blockchain; Cloud AWS,Comunidade; Trabalho remoto
FE75VV,2024-06-30 22:08:27,DevOps/Infra,Swift; Dart; TypeScript; SQL,Cursos online; Hackathons; Documentação oficial,Startup; Empresa grande; Híbrido; Clima flexível; Multinacional,Azure; GitLab; Jupyter; VS Code,Uso diariamente,Impacto; Reconhecimento; Resolver problemas; Inovação,Teste/QA; Gerenciar tempo; Documentação,Cloud Azure; Go; Blockchain; Kotlin,Boas oportunidades; Desafios
VZ46WH,2024-10-08 04:39:25,Pesquisador,Dart; C++; Swift; Rust,Tutoriais YouTube; Trabalho/Prática; Bootcamp; Documentação oficial,Remoto; Híbrido,Eclipse; Azure; Kubernetes; Figma; Bitbucket,Uso para documentação,Resolver problemas; Inovação; Desafio; Pesquisa,Teste/QA; Mudanças constantes; Deploy; Infraestrutura; Gerenciar tempo,Swift; Node.js,Trabalho remoto; Curiosidade
ZE68ZB,2024-08-06 17:30:57,Professor,Rust; Ruby; Go; C#; Python,Documentação oficial; Cursos presenciais; Mentoria; Outros,Times pequenos; Open source; Academia; Presencial; Freelancer,GitHub; AWS; Bitbucket; IntelliJ,Uso para revisar código,Comunidade; Impacto; Autonomia; Ensinar,Ferramentas novas; Bugs difíceis; Documentação; Falta de requisitos,Node.js; Kotlin; React,Comunidade; Remuneração; Impacto social; Crescimento pessoal; Ensinar
EY99PM,2024-02-13 10:40:57,Outro,Dart; R; SQL; C++,Cursos online; Pós-graduação; Mentoria,Híbrido; Multinacional,Bitbucket; PyCharm; GitLab; AWS; IntelliJ,Uso semanalmente,Reconhecimento; Impacto; Carreira; Ensinar; Autonomia,Comunicação; Mudanças constantes; Documentação; Escalabilidade; Dados ruins,Kubernetes; Kotlin; Node.js; DevOps,Reconhecimento; Remuneração; Flexibilidade; Curiosidade; Boas oportunidades
